date,pid,race,bets,stake,payout,hit,hit_combo
20250810,06,8R,6,600,0,0,4-3-1
20250810,06,9R,7,700,4050,1,3-1-2
20250810,07,10R,12,1200,0,0,1-3-2
20250810,07,11R,11,1100,0,0,4-5-1
20250810,07,12R,9,900,0,0,4-1-5
20250810,07,1R,13,1300,5430,1,2-3-1
20250810,07,2R,13,1300,0,0,6-5-3
20250810,07,3R,17,1700,0,0,1-2-3
20250810,07,4R,17,1700,8500,1,3-2-1
20250810,07,5R,18,1800,0,0,2-6-1
20250810,07,6R,10,1000,0,0,6-4-5
20250810,07,7R,12,1200,0,0,1-3-4
20250810,07,8R,6,600,0,0,1-4-5
20250810,07,9R,12,1200,0,0,1-2-4
20250810,08,10R,11,1100,3520,1,4-2-1
20250810,08,11R,9,900,0,0,1-6-2
20250810,08,12R,11,1100,0,0,1-4-3
20250810,08,1R,0,0,0,0,1-5-3
20250810,08,2R,13,1300,0,0,1-5-2
20250810,08,3R,18,1800,0,0,1-3-2
20250810,08,4R,7,700,0,0,3-6-1
20250810,08,5R,13,1300,0,0,3-1-4
20250810,08,6R,11,1100,0,0,1-2-3
20250810,08,7R,14,1400,0,0,1-3-6
20250810,08,8R,15,1500,3940,1,2-3-1
20250810,08,9R,6,600,0,0,1-4-5
20250810,11,10R,13,1300,4440,1,3-1-6
20250810,11,11R,10,1000,0,0,4-6-1
20250810,11,12R,12,1200,0,0,3-1-5
20250810,11,1R,5,500,0,0,5-4-6
20250810,11,2R,16,1600,0,0,1-4-3
20250810,11,3R,12,1200,0,0,1-2-4
20250810,11,4R,15,1500,0,0,4-3-5
20250810,11,5R,8,800,0,0,1-3-4
20250810,11,6R,13,1300,0,0,4-5-2
20250810,11,7R,5,500,0,0,1-5-3
20250810,11,8R,6,600,0,0,5-1-6
20250810,11,9R,9,900,0,0,2-1-4
20250810,13,10R,11,1100,0,0,1-4-2
20250810,13,11R,8,800,5210,1,3-1-2
20250810,13,12R,9,900,0,0,1-5-3
20250810,13,1R,10,1000,0,0,1-2-3
